date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:41	29809/29809	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2021:35:54%20GMT	https://form.jotform.com/251894656314162	C:/My%20Web%20Sites/NH%20jotform/form.jotform.com/251894656314162.html	(from )
22:35:41	288/288	---M-Z	200	added ('OK')	text/plain	date:Thu,%2010%20Jul%202025%2021:35:55%20GMT	https://form.jotform.com/robots.txt		(from )
22:35:42	522/522	---M-Z	200	added ('OK')	application/xml	date:Thu,%2010%20Jul%202025%2021:35:56%20GMT	https://www.jotform.com/oembed/?format=xml&url=https%3A%2F%2Fform.jotform.com%2F251894656314162	C:/My%20Web%20Sites/NH%20jotform/www.jotform.com/oembed/index47ad.html	(from https://form.jotform.com/251894656314162)
22:35:42	438/438	---M-Z	200	added ('OK')	application/json	date:Thu,%2010%20Jul%202025%2021:35:56%20GMT	https://www.jotform.com/oembed/?format=json&url=https%3A%2F%2Fform.jotform.com%2F251894656314162	C:/My%20Web%20Sites/NH%20jotform/www.jotform.com/oembed/indexf8fe.html	(from https://form.jotform.com/251894656314162)
22:35:42	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2010%20Jul%202025%2021:35:56%20GMT	https://www.jotform.com/uploads/oysterhr520/form_files/WhatsApp%20Image%202025-07-09%20at%2014.38.43_07751f9b.686e913a727d50.79879466.jpg	C:/My%20Web%20Sites/NH%20jotform/www.jotform.com/uploads/oysterhr520/form_files/WhatsApp%20Image%202025-07-09%20at%2014.38.43_07751f9b.686e913a727d50.79879466.1.delayed	(from https://form.jotform.com/251894656314162)
22:35:43	34777/34777	---MC-	200	added ('OK')	application/octet-stream	date:Thu,%2010%20Jul%202025%2021:35:56%20GMT	https://files.jotform.com/jufs/oysterhr520/form_files/WhatsApp%20Image%202025-07-09%20at%2014.38.43_07751f9b.686e913a727d50.79879466.jpg?md5=cWYQK-HmXwPWm4eOYp0lsg&expires=1752183366	C:/My%20Web%20Sites/NH%20jotform/files.jotform.com/jufs/oysterhr520/form_files/WhatsApp%20Image%202025-07-09%20at%2014.38.43_07751f9b.686e913a727d50.798794663295.jpg	(from https://form.jotform.com/251894656314162)
22:35:44	1730/1730	---M--	200	added ('OK')	image/png	etag:%2258c4dde30bc77ab9e25a470ab8c139cb%22	https://cdn.jotfor.ms/assets/img/favicons/favicon-2021-light%402x.png	C:/My%20Web%20Sites/NH%20jotform/cdn.jotfor.ms/assets/img/favicons/favicon-2021-light@2x.png	(from https://form.jotform.com/251894656314162)
22:35:45	70/70	---M--	302	error ('Found')	text/html	date:Thu,%2010%20Jul%202025%2021:35:58%20GMT	https://form.jotform.com/favicon-2021-light%402x.png	C:/My%20Web%20Sites/NH%20jotform/form.jotform.com/favicon-2021-light@2x.4.delayed	(from https://form.jotform.com/251894656314162)
22:35:46	142452/142452	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jul%202025%2021:35:58%20GMT	https://cdn.jotfor.ms/favicon-2021-light@2x.png	C:/My%20Web%20Sites/NH%20jotform/cdn.jotfor.ms/favicon-2021-light@2x.png	(from https://form.jotform.com/251894656314162)
22:35:46	69/69	---M--	302	error ('Found')	text/html	date:Thu,%2010%20Jul%202025%2021:35:59%20GMT	https://form.jotform.com/favicon-2021-dark%402x.png	C:/My%20Web%20Sites/NH%20jotform/form.jotform.com/favicon-2021-dark@2x.png	(from https://form.jotform.com/251894656314162)
22:35:47	142451/142451	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jul%202025%2021:36:00%20GMT	https://cdn.jotfor.ms/favicon-2021-dark@2x.png	C:/My%20Web%20Sites/NH%20jotform/cdn.jotfor.ms/favicon-2021-dark@2x.png	(from https://form.jotform.com/251894656314162)
22:35:47	3168/3168	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Jul%202025%2011:59:48%20GMT	https://cdn.jotfor.ms/stylebuilder/static/form-common.css?v=87bd99f	C:/My%20Web%20Sites/NH%20jotform/cdn.jotfor.ms/stylebuilder/static/form-common5ec7.css	(from https://form.jotform.com/251894656314162)
22:35:47	530797/530797	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202025%2021:36:00%20GMT	https://cdn.jotfor.ms/themes/CSS/5e6b428acc8c4e222d1beb91.css?v=3.3.63943&themeRevisionID=5f30e2a790832f3e96009402	C:/My%20Web%20Sites/NH%20jotform/cdn.jotfor.ms/themes/CSS/5e6b428acc8c4e222d1beb9156ed.css	(from https://form.jotform.com/251894656314162)
22:35:48	95828/95828	---MCZ	200	added ('OK')	text/css	etag:W/%22684fdd92-17654%22	https://cdn.jotfor.ms/css/styles/payment/payment_styles.css?3.3.63943	C:/My%20Web%20Sites/NH%20jotform/cdn.jotfor.ms/css/styles/payment/payment_stylesfd21.css	(from https://form.jotform.com/251894656314162)
